full_name,email_address,phone_number,state_name,zip_code,signup_date,purchase_amount,age_years,status,customer_city,company_name,subscribed,junk_notes,mostly_empty,empty_col,row_id
ruby thomas,,(555) 539-6186,PA,57762,02-05-2025,N/A,unknown,,harrisburg,Bright Labs,,old import,,,255
ruby wilson,ruby.wilson82@demo.org, 555 797 9735 ,District of Columbia,69542,07/22/2024,N/A,,Active,RICHMOND,N/A,no,delete me,,,412
LIAM J​ACKSON,,5555502860,Maryland,34283-5751,"Nov 16, 2024","5,551",78,active, TOWSON ,Unk​nown,N,temp,,,68
peter johnson,peter.johnson86@mail.com,1-555-387-5636,dc,94232-1158,2023-06-01, $978.00 ,,INACTIVE,Washington,none,TRUE,delete me,,,480
  katie brown  , KATIE.BROWN11@SAMPLE.NET ,555.589.7637,DC, 48827 ,11/25/2023,N/A,unknown,inactive,ANNAPOLIS,none,0,,,,420
alice ​miller, ALICE.MILLER92@EXAMPLE.COM ,(555) 548-8175,,66448,2025-01-04, $832.00 ,18,pending,COLUMBIA,   ,Yes,,?,,133
  Alice Anderson  ,alice.anderson40@sample.net,1-555-648-5346,Delaware,90515,"Mar 19, 2025","9,606",39,Active,COLUMBIA,CEDAR WORKS,yes,,,,409
Peter Johnson,peter.johnson89@demo.org,5554511367,DC,85706-7781,04-30-2023,774,,PENDING,harrisburg,Cedar Works,No,,,,162
Uma Johnson,,555.454.8634,md,42848,"Feb 18, 2024",,unknown,unknown,baltimore,none,false,,,,250
xavier brown,xavier.brown16@demo.org, 555 248 5480 ,PA,30140,11-08-2023,"2,763",,, RICHMOND ,North Star,TRUE,,,,174
olivia smith,olivia.smith76@example.com,5556917344,Virginia,66105,05/01/2025, $566.00 ,unknown,pending,washington,Unknown,no,delete me,,,392
LIAM GARCIA,liam.garcia94@demo.org,5551047282,Delaware,29058,2025-06-15, $961.00 ,58,pending,baltimore,NORTH STAR,No,,,,363
FRANK SMITH,frank.smith80@sample.net, 555 851 6140 ,md, 59527 ,2024-09-20, $139.00 , 68 ,ACTIVE,ANNAPOLIS,Bright Labs,N,old import,,,26
  emma taylor  ,emma.taylor19@sample.net, 555 594 4037 ,md,15468-4391,"Aug 13, 2024","1,376",75,ACTIVE,RICHMOND,BLUE ROCKET,No,temp,x,,279
  will thomas  ,, 555 314 2990 ,Pennsylvania,14997-9945,"Jan 29, 2023", $227.00 ,unknown,inactive,Annapolis,none,yes,temp,,,478
Quinn Davis,quinn.davis93@mail.com,(555) 300-7295,dc,48981,"Jul 31, 2023",,,unknown,NEWARK,BLUE ROCKET,No,,,,34
Henry Anderson,henry.anderson11@demo.org,555.377.3091,Delaware,83872,01/12/2023,"8,090",,pending,HARRISBURG,CEDAR WORKS,no,,,,350
Alice Martinez,alice.martinez77@example.com,1-555-978-7846,md,96464-7752,05-17-2024, $984.00 ,23,unknown, newark ,Unknown,yes,temp,,,468
Zoe Brown,zoe.brown48@mail.com,1-555-817-1935,pa,11259,"Jul 04, 2023",986,unknown,PENDING,RICHMOND,Cedar Works,Y,temp,,,109
