full_name,email_address,phone_number,state_name,zip_code,signup_date,purchase_amount,age_years,status,customer_city,company_name,subscribed,junk_notes,mostly_empty,empty_col,row_id
ruby thomas,,+1 (555) 539-6186,pa,57762,02-05-2025,,unknown,,harrisburg,bright labs,,old import,,,255.0
ruby wilson,ruby.wilson82@demo.org,+1 (555) 797-9735,district of columbia,69542,07/22/2024,,,active,richmond,,no,delete me,,,412.0
liam j​ackson,,+1 (555) 550-2860,maryland,34283-5751,"nov 16, 2024","5,551",78,active,towson,unk​nown,n,temp,,,68.0
peter johnson,peter.johnson86@mail.com,+1 (555) 387-5636,dc,94232-1158,2023-06-01,$978.00,,inactive,washington,none,true,delete me,,,480.0
katie brown,katie.brown11@sample.net,+1 (555) 589-7637,dc,48827,11/25/2023,,unknown,inactive,annapolis,none,0,,,,420.0
alice ​miller,alice.miller92@example.com,+1 (555) 548-8175,,66448,2025-01-04,$832.00,18,pending,columbia,,yes,,?,,133.0
alice anderson,alice.anderson40@sample.net,+1 (555) 648-5346,delaware,90515,"mar 19, 2025","9,606",39,active,columbia,cedar works,yes,,,,409.0
peter johnson,peter.johnson89@demo.org,+1 (555) 451-1367,dc,85706-7781,04-30-2023,774,,pending,harrisburg,cedar works,no,,,,162.0
uma johnson,,+1 (555) 454-8634,md,42848,"feb 18, 2024",,unknown,unknown,baltimore,none,false,,,,250.0
xavier brown,xavier.brown16@demo.org,+1 (555) 248-5480,pa,30140,11-08-2023,"2,763",,,richmond,north star,true,,,,174.0
olivia smith,olivia.smith76@example.com,+1 (555) 691-7344,virginia,66105,05/01/2025,$566.00,unknown,pending,washington,unknown,no,delete me,,,392.0
liam garcia,liam.garcia94@demo.org,+1 (555) 104-7282,delaware,29058,2025-06-15,$961.00,58,pending,baltimore,north star,no,,,,363.0
frank smith,frank.smith80@sample.net,+1 (555) 851-6140,md,59527,2024-09-20,$139.00,68,active,annapolis,bright labs,n,old import,,,26.0
emma taylor,emma.taylor19@sample.net,+1 (555) 594-4037,md,15468-4391,"aug 13, 2024","1,376",75,active,richmond,blue rocket,no,temp,x,,279.0
will thomas,,+1 (555) 314-2990,pennsylvania,14997-9945,"jan 29, 2023",$227.00,unknown,inactive,annapolis,none,yes,temp,,,478.0
quinn davis,quinn.davis93@mail.com,+1 (555) 300-7295,dc,48981,"jul 31, 2023",,,unknown,newark,blue rocket,no,,,,34.0
henry anderson,henry.anderson11@demo.org,+1 (555) 377-3091,delaware,83872,01/12/2023,"8,090",,pending,harrisburg,cedar works,no,,,,350.0
alice martinez,alice.martinez77@example.com,+1 (555) 978-7846,md,96464-7752,05-17-2024,$984.00,23,unknown,newark,unknown,yes,temp,,,468.0
zoe brown,zoe.brown48@mail.com,+1 (555) 817-1935,pa,11259,"jul 04, 2023",986,unknown,pending,richmond,cedar works,y,temp,,,109.0
alice thomas,alice.thomas83@sample.net,,maryland,77013-7237,07/05/2024,,unknown,unknown,washington,acme co,0,,,,310.0
uma rodriguez,uma.rodriguez60@sample.net,+1 (555) 794-8322,md,21065,"aug 06, 2023",$134.00,57,pending,richmond,north star,no,,,,452.0
grace rodriguez,grace.rodriguez17@sample.net,+1 (555) 879-8422,dc,8981,"aug 10, 2024",,unknown,unknown,newark,unknown,y,delete me,,,431.0
liam rodriguez,liam.rodriguez99@sample.net,+1 (555) 193-5704,va,17073-9041,12/12/2024,,54,inactive,richmond,bright labs,no,temp,,,32.0
uma j​ackson,,+1 (555) 626-2242,pa,55083,03/30/2023,,unknown,active,washington,none,y,old import,,,293.0
tina garcia,tina.garcia79@mail.com,+1 (555) 766-2572,maryland,94149,"feb 06, 2024",,,pending,washington,north star,,old import,,,149.0
frank martinez,frank.martinez98@sample.net,,dc,74191,2025/04/20,,,inactive,baltimore,,true,delete me,,,359.0
zoe an​derson,,+1 (555) 143-3844,delaware,25558,02-09-2024,$431.00,unknown,inactive,rockville,,n,delete me,,,400.0
peter miller,peter.miller86@example.com,+1 (555) 603-1760,maryland,48546,03/06/2025,110,unknown,n/a,washington,north star,no,delete me,,,125.0
ruby thomas,ruby.thomas85@sample.net,+1 (555) 477-6838,maryland,45229,2025/04/11,"8,288",75,unknown,annapolis,none,yes,old import,,,213.0
alice taylor,alice.taylor77@mail.com,+1 (555) 276-8411,maryland,56372,2024-05-25,"1,327",35,active,rockville,bright labs,y,,,,235.0
alice jones,alice.jones99@mail.com,+1 (555) 268-9966,md,95986,"jun 29, 2024",,43,active,columbia,blue rocket,0,delete me,,,291.0
frank garcia,frank.garcia37@sample.net,,md,46556-4702,"jun 20, 2024","1,915",,pending,newark,none,yes,,,,346.0
,frank.davis22@sample.net,+1 (555) 876-1437,delaware,32836,"feb 11, 2024",,,inactive,newark,blue rocket,yes,,,,395.0
yara wilson,yara.wilson22@demo.org,,district of columbia,52015,2023/02/05,$357.00,,,columbia,unknown,0,delete me,,,306.0
,,,,,,,,,,,,,,,
carol davis,carol.davis16@sample.net,+1 (555) 847-5506,,39076,2025-01-03,$907.00,unknown,inactive,richmond,,no,,,,283.0
henry moore,henry.moore52@mail.com,+1 (555) 194-4365,district of columbia,28817-5450,11/28/2023,,,active,harrisburg,none,yes,old import,,,207.0
zoe davis,zoe.davis67@mail.com,+1 (555) 779-3391,dc,28981,2024/12/23,"8,786",58,inactive,rockville,bright labs,yes,delete me,,,219.0
tina wilson,tina.wilson47@mail.com,+1 (555) 837-6898,district of columbia,79677,2025-03-06,"5,468",,active,harrisburg,unknown,,,,,231.0
isla brown,isla.brown12@demo.org,+1 (555) 250-4152,va,85618,2023-12-19,,53,n/a,newark,none,yes,delete me,,,492.0
will ​moore,,+1 (555) 921-4759,virginia,65691,11-27-2024,"1,758",unknown,inactive,annapolis,,y,,,,386.0
sam thomas,sam.thomas54@example.com,+1 (555) 173-9722,maryland,20222,08/30/2023,"9,828",,n/a,baltimore,unk​nown,,,,,179.0
david wilson,david.wilson32@example.com,+1 (555) 893-8635,dc,71406,2023-03-23,,44,unknown,harrisburg,,no,delete me,,,500.0
victor wilson,victor.wilson48@sample.net,+1 (555) 383-7359,dc,87021,2024/03/01,$281.00,19,pending,rockville,acme co,true,temp,,,369.0
jack jones,jack.jones42@demo.org,,md,66212,09/06/2023,,60,active,newark,blue rocket,1,delete me,,,415.0
frank jones,,+1 (555) 907-3170,district of columbia,75610-5630,"jan 30, 2025",,,active,washington,blue rocket,0,old import,,,94.0
mia jackson,mia.jackson21@sample.net,+1 (555) 404-7274,md,72224-6257,2024-02-17,"6,403",unknown,inactive,rockville,acme co,yes,temp,,,92.0
henry wilson,,+1 (555) 133-1648,maryland,48554,2023/08/12,,52,inactive,newark,north star,y,delete me,,,95.0
yara thomas,,+1 (555) 436-1572,,80334,10/25/2023,,,pending,harrisburg,,true,,,,353.0
liam ro​driguez,,+1 (555) 405-4415,va,85107,2025-06-05,,,n/a,harrisburg,,no,,,,161.0
quinn jones,quinn.jones13@mail.com,+1 (555) 304-8279,delaware,80504,08/31/2024,"3,663",unknown,active,washington,unknown,,temp,,,143.0
victor garcia,victor.garcia57@sample.net,+1 (555) 320-2123,delaware,90817-1128,2023/09/13,$740.00,39,,newark,unknown,n,delete me,,,169.0
,grace.smith77@demo.org,+1 (555) 875-2681,maryland,57096-7281,01-05-2023,,67,pending,rockville,unknown,y,old import,,,375.0
tina rodriguez,tina.rodriguez93@sample.net,+1 (555) 455-3604,,20137,2024-09-14,583,,inactive,washington,n​/a,false,delete me,,,241.0
carol brown,,+1 (555) 681-6715,district of columbia,98183,2023-08-28,,unknown,,newark,none,false,,,,222.0
bob anderson,bob.anderson88@mail.com,+1 (555) 226-4038,maryland,2941,2023-03-15,$660.00,unknown,active,baltimore,bright labs,n,,,,465.0
jack rodriguez,jack.rodriguez54@demo.org,,de,42196,09-30-2023,"1,572",68,active,newark,none,no,,,,490.0
frank taylor,frank.taylor75@sample.net,+1 (555) 120-3357,,38992,,666,unknown,n/a,annapolis,bright labs,,temp,,,461.0
alice taylor,alice.taylor97@example.com,+1 (555) 969-1357,de,72032,2025/04/25,880,27,,washington,bright labs,,delete me,,,17.0
frank rodriguez,frank.rodriguez44@example.com,+1 (555) 672-1741,maryland,30145,02-02-2023,$982.00,,pending,harrisburg,cedar works,,temp,,,383.0
olivia taylor,olivia.taylor58@demo.org,+1 (555) 336-7414,md,39276,"jul 08, 2023",346,71,unknown,washington,none,no,old import,,,84.0
henry martinez,henry.martinez13@mail.com,+1 (555) 267-1015,delaware,1842,2023/11/07,,66,n/a,rockville,cedar works,yes,temp,,,155.0
sam davis,sam.davis98@example.com,+1 (555) 150-4094,pa,,05-05-2023,"6,559",67,inactive,towson,north star,no,,,,404.0
uma taylor,uma.taylor59@example.com,+1 (555) 925-6307,de,15687-7256,"jul 11, 2023",$958.00,,,annapolis,none,no,temp,,,172.0
alice miller,,+1 (555) 106-5099,delaware,6884,"jun 13, 2025",$694.00,25,,newark,,true,temp,,,453.0
alice jackson,alice.jackson39@sample.net,+1 (555) 278-4977,,87446,2025-06-19,"3,409",73,inactive,newark,bright labs,n,temp,,,290.0
yara wilson,yara.wilson1@sample.net,+1 (555) 679-1477,va,86059,2024-06-30,"1,151",63,inactive,richmond,acme co,yes,temp,,,154.0
alice johnson,alice.johnson93@demo.org,+1 (555) 673-9135,dc,,03/08/2024,"1,247",33,n/a,columbia,bright labs,0,,,,130.0
bob anderson,bob.anderson92@mail.com,+1 (555) 621-8015,district of columbia,15429,12-14-2023,$885.00,47,inactive,harrisburg,blue rocket,0,old import,,,338.0
peter ​miller,peter.miller62@example.com,+1 (555) 253-6763,va,10684-4377,"aug 19, 2023",,,,newark,north​ star,yes,old import,,,189.0
noah jackson,noah.jackson28@example.com,,virginia,3524,12/30/2024,151,60,pending,towson,,false,,,,145.0
grace miller,grace.miller21@example.com,,md,92501,2024/06/02,"8,541",67,unknown,columbia,cedar​ works,yes,old import,,,113.0
ruby ​brown,ruby.brown88@example.com,+1 (555) 804-1967,de,41127,"apr 05, 2025","6,510",,pending,rockville,,no,old import,,,483.0
carol smith,,+1 (555) 818-7897,,14150,,,,n/a,harrisburg,cedar works,n,temp,,,195.0
liam rodriguez,liam.rodriguez25@sample.net,+1 (555) 892-5947,dc,28256,2023/11/06,"4,792",,active,washington,cedar works,yes,,,,456.0
tina jackson,tina.jackson4@demo.org,+1 (555) 993-9300,delaware,88581,"nov 09, 2024",,34,inactive,baltimore,bright labs,1,temp,,,411.0
